order_id,order_date,customer_id,product,category,region,quantity,unit_price,discount,revenue,cost,profit
1001,2026-01-05,C101,Laptop,Electronics,South,2,60000,0.05,114000,95000,19000
1002,2026-01-07,C102,Mouse,Accessories,North,10,1500,0.10,13500,8000,5500
1003,2026-01-12,C103,Monitor,Electronics,South,3,20000,0.05,57000,42000,15000
1004,2026-01-15,C104,Keyboard,Accessories,West,5,3000,0.10,13500,8500,5000
1005,2026-02-03,C105,Laptop,Electronics,North,1,60000,0.10,54000,47500,6500
1006,2026-02-10,C106,Monitor,Electronics,East,4,20000,0.05,76000,56000,20000
1007,2026-02-14,C107,Mouse,Accessories,South,15,1500,0.05,21375,12000,9375
1008,2026-02-20,C108,Keyboard,Accessories,North,8,3000,0.10,21600,13600,8000
1009,2026-03-02,C109,Laptop,Electronics,South,2,60000,0.05,114000,95000,19000
1010,2026-03-08,C110,Monitor,Electronics,West,5,20000,0.05,95000,70000,25000
1011,2026-03-15,C111,Mouse,Accessories,East,20,1500,0.10,27000,16000,11000
1012,2026-03-22,C112,Keyboard,Accessories,South,10,3000,0.05,28500,17000,11500
1013,2026-04-05,C113,Laptop,Electronics,South,2,60000,0.20,96000,95000,1000
1014,2026-04-10,C114,Monitor,Electronics,North,3,20000,0.20,48000,42000,6000
1015,2026-04-15,C115,Mouse,Accessories,West,12,1500,0.15,15300,9600,5700
1016,2026-04-20,C116,Keyboard,Accessories,East,7,3000,0.15,17850,11900,5950
1017,2026-05-03,C117,Laptop,Electronics,South,1,60000,0.25,45000,50000,-5000
1018,2026-05-10,C118,Monitor,Electronics,North,2,20000,0.20,32000,30000,2000
1019,2026-05-15,C119,Mouse,Accessories,West,10,1500,0.20,12000,8500,3500
1020,2026-05-22,C120,Keyboard,Accessories,East,6,3000,0.20,14400,10200,4200
